PLATFRMID,NAME,TYPE,STATUS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,COMPLEXID,NOSTR,OWNER,OPERNAME,POSREL,COMMODITY,INSTALL,REMOVAL,MANNED24HR,DISTLAND,WATERDEPTH,RIGCOUNT,PWRSOURCE,PWRGENFLAG,OILPRDFLAG,GASMTRFLAG,COMPREFLAG,COMPRDFLAG,HELPRTFLAG,BEDCOUNT,BLOCKNO,LEASENO,AREANUMBER,REGION,LOG_WDEPTH,INSTALL_DATE,INSTALL_YEAR,residuals
GOM00779,A,OFFSHORE PLATFORM,REMOVED,28.4228650045,-91.8292358257,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1286,1,NOT AVAILABLE,"TR OFFSHORE, LLC",THIRD PARTY,NONE,6/4/2003 0:00:00,8/22/2009 0:00:00,N,20,190,0,U,N,N,N,N,U,N,-999,268,G16363,EI,GULF OF MEXICO,5.247024072160486,2003-06-04,2003,0.5624636857806147
GOM00780,C,OFFSHORE PLATFORM,IN SERVICE,29.13564952,-93.9991604319,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1287,1,NOT AVAILABLE,"MANTA RAY GATHERING CO., LLC",THIRD PARTY,UNKNOWN,6/10/2004 0:00:00,,Y,35,59,0,G,Y,U,U,U,U,Y,8,A   5,NOT AVAILABLE,HI,GULF OF MEXICO,4.07753744390572,2004-06-10,2004,0.2365375379257495
GOM00781,A-GUNNISON SPAR,OFFSHORE PLATFORM,IN SERVICE,27.304128253,-93.5384483607,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1288,1,"ANADARKO US OFFSHORE LLC; NEXEN PETROLEUM OFFSHORE USA INC.; ENERGY RESOURCE TECHNOLOGY GOM, INC.",ANADARKO PETROLEUM CORP.,THIRD PARTY,BOTH,12/9/2003 0:00:00,,Y,154,3150,0,G,Y,Y,Y,Y,U,Y,68,668,G17407,GB,GULF OF MEXICO,8.055157731819678,2003-12-09,2003,1.6380317655498278
GOM00782,A,OFFSHORE PLATFORM,REMOVED,27.9269282138,-96.3909525602,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1289,1,NOT AVAILABLE,"MERIT ENERGY CO., LLC",THIRD PARTY,NONE,6/5/2003 0:00:00,6/14/2010 0:00:00,N,20,126,0,U,N,N,N,N,U,Y,-999,682,G05171,MI,GULF OF MEXICO,4.836281906951478,2003-06-05,2003,-0.4621700840477052
GOM00783,A-FRONT RUNNER,OFFSHORE PLATFORM,IN SERVICE,27.6251114457,-90.4411082198,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1290,1,MURPHY EXPLORATION & PRODUCTION CO. - USA; ENI PETROLEUM US LLC,MURPHY EXPLORATION & PRODUCTION CO. - USA,THIRD PARTY,BOTH,8/2/2004 0:00:00,,Y,110,3330,0,G,Y,Y,Y,Y,Y,Y,56,338,G21790,GC,GULF OF MEXICO,8.110727582974489,2004-08-02,2004,0.43614521130619543
GOM00784,B,OFFSHORE PLATFORM,REMOVED,28.7265452741,-94.8433364906,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1291,1,NOT AVAILABLE,OFFSHORE SHELF LLC,THIRD PARTY,NONE,7/29/2003 0:00:00,8/20/2009 0:00:00,N,23,86,0,U,U,U,U,U,U,Y,-999,351,G24366,GA,GULF OF MEXICO,4.454347296253507,2003-07-29,2003,0.14307846127969093
GOM00785,A,OFFSHORE PLATFORM,IN SERVICE,29.6472279033,-88.5119796172,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1292,1,NOT AVAILABLE,TANA EXPLORATION CO. LLC,THIRD PARTY,BOTH,6/13/2003 0:00:00,,N,36,124,0,U,N,N,N,N,N,Y,-999,160,G05245,MP,GULF OF MEXICO,4.820281565605037,2003-06-13,2003,1.104066562385051
GOM00786,CAIS.#1,OFFSHORE PLATFORM,IN SERVICE,29.6091248444,-93.17033934,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1296,1,FIELDWOOD ENERGY OFFSHORE LLC; FIELDWOOD ENERGY LLC,FIELDWOOD ENERGY OFFSHORE LLC,THIRD PARTY,BOTH,8/8/2003 0:00:00,,N,10,37,0,U,N,Y,N,N,U,Y,-999,72,G23735,WC,GULF OF MEXICO,3.610917912644224,2003-08-08,2003,0.2164401764825623
GOM00787,3,OFFSHORE PLATFORM,IN SERVICE,29.6090561474,-93.170334931,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1296,2,FIELDWOOD ENERGY OFFSHORE LLC; FIELDWOOD ENERGY LLC,FIELDWOOD ENERGY OFFSHORE LLC,THIRD PARTY,UNKNOWN,2/25/2006 0:00:00,,N,10,37,0,U,N,Y,N,N,U,Y,-999,72,G23735,WC,GULF OF MEXICO,3.610917912644224,2006-02-25,2006,0.21642524678961017
GOM00788,B,OFFSHORE PLATFORM,REMOVED,29.1048360511,-92.3941069093,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,BOEM/BSEE,5/3/2016 0:00:00,UNVERIFIED,6/20/2016 0:00:00,1297,1,NOT AVAILABLE,REMINGTON OIL AND GAS CORP.,THIRD PARTY,NONE,6/20/2003 0:00:00,5/12/2005 0:00:00,N,20,64,-999,U,U,Y,Y,U,U,Y,-999,117,G22618,VR,GULF OF MEXICO,4.158883083359671,2003-06-20,2003,0.5912361208905725
